Phase,Measurement,Result,Value,Validator,ErrorMessage
step1,test1,pass,0,always pass,
,test2,pass,1,always pass,
,test3,pass,2,always pass,
,test4,pass,3,always pass,
,test5,pass,4,always pass,
,test6,pass,5,N/A,
,test7,fail,6,7<=X<=9,XXXXXX
,test8,pass,7,always pass,
,test9,pass,8,always pass,
,test10,pass,9,always pass,
,test11,pass,10,always pass,
,test12,pass,11,always pass,
,test13,pass,12,always pass,
,test14,pass,13,always pass,
,test15,pass,14,always pass,
,test16,pass,15,always pass,
,test17,fail,16,10<=X<=15,XXXXXX
,test18,pass,17,always pass,
,test19,pass,18,always pass,
step2,test20,fail,19,19.1<=X<=20.5,little
,test21,pass,20,always pass,
,test22,pass,21,always pass,
,test23,pass,22,always pass,
,test24,pass,23,always pass,
,test25,pass,24,always pass,
,test26,pass,25,always pass,
,test27,pass,26,always pass,
,test28,pass,27,always pass,
,test29,pass,28,always pass,
,test30,pass,29,always pass,
,test31,pass,30,always pass,
,test32,pass,31,always pass,
,test33,pass,32,always pass,
step3,test34,pass,33,always pass,
,test35,pass,34,always pass,
,test36,pass,35,always pass,
,test37,pass,36,always pass,
,test38,pass,37,always pass,
,test39,pass,38,always pass,
,test40,pass,39,always pass,
,test41,pass,40,always pass,
,test42,pass,41,always pass,
,test43,pass,42,always pass,
,test44,pass,43,always pass,
,test45,pass,44,always pass,
,test46,pass,45,always pass,
,test47,fail,not test,2.9<=X<=8,not value set
,test48,pass,47,always pass,
,test49,pass,48,always pass,
step4,test50,fail,49,1.2<=X<=48.9,OverLimits
